"","efo_id","trait","uri"
"1","EFO_0001060","celiac disease","http://www.ebi.ac.uk/efo/EFO_0001060"
"2","EFO_0001065","endometriosis","http://www.ebi.ac.uk/efo/EFO_0001065"
"3","EFO_0001068","malaria","http://www.ebi.ac.uk/efo/EFO_0001068"
"4","EFO_0001071","lung carcinoma","http://www.ebi.ac.uk/efo/EFO_0001071"
"5","EFO_0005133","MHPG measurement","http://www.ebi.ac.uk/efo/EFO_0005133"
"6","EFO_0005130","thyroxine measurement","http://www.ebi.ac.uk/efo/EFO_0005130"
"7","EFO_0005119","antioxidant measurement","http://www.ebi.ac.uk/efo/EFO_0005119"
"8","EFO_0005108","arm span","http://www.ebi.ac.uk/efo/EFO_0005108"
"9","EFO_0005117","CCL5 measurement","http://www.ebi.ac.uk/efo/EFO_0005117"
"10","EFO_0005109","energy expenditure","http://www.ebi.ac.uk/efo/EFO_0005109"
"11","EFO_0005110","fatty acid measurement","http://www.ebi.ac.uk/efo/EFO_0005110"
"12","EFO_0005111","folic acid measurement","http://www.ebi.ac.uk/efo/EFO_0005111"
"13","EFO_0005112","gestational age","http://www.ebi.ac.uk/efo/EFO_0005112"
"14","EFO_0005114","head circumference","http://www.ebi.ac.uk/efo/EFO_0005114"
"15","EFO_0005118","IGFBP-1 measurement","http://www.ebi.ac.uk/efo/EFO_0005118"
"16","EFO_0005115","metabolic rate measurement","http://www.ebi.ac.uk/efo/EFO_0005115"
"17","EFO_0005116","urinary metabolite measurement","http://www.ebi.ac.uk/efo/EFO_0005116"
"18","EFO_0005134","amino acid measurement","http://www.ebi.ac.uk/efo/EFO_0005134"
"19","EFO_0005106","body composition measurement","http://www.ebi.ac.uk/efo/EFO_0005106"
"20","EFO_0003939","energy intake","http://www.ebi.ac.uk/efo/EFO_0003939"
"21","EFO_0003940","physical activity","http://www.ebi.ac.uk/efo/EFO_0003940"
"22","GO_0097334","response to perphenazine","http://purl.obolibrary.org/obo/GO_0097334"
"23","EFO_0005043","cardiac troponin T measurement","http://www.ebi.ac.uk/efo/EFO_0005043"
"24","EFO_0001059","cataract","http://www.ebi.ac.uk/efo/EFO_0001059"
"25","HP_0001268","cognitive decline","http://purl.obolibrary.org/obo/HP_0001268"
"26","EFO_0000538","hypertrophic cardiomyopathy","http://www.ebi.ac.uk/efo/EFO_0000538"
"27","EFO_0004995","lean body mass","http://www.ebi.ac.uk/efo/EFO_0004995"
"28","EFO_0004732","lipoprotein measurement","http://www.ebi.ac.uk/efo/EFO_0004732"
"29","EFO_0004992","otitis media","http://www.ebi.ac.uk/efo/EFO_0004992"
"30","EFO_0000278","pancreatitis","http://www.ebi.ac.uk/efo/EFO_0000278"
"31","EFO_0004985","platelet reactivity measurement","http://www.ebi.ac.uk/efo/EFO_0004985"
"32","GO_0031427","response to methotrexate","http://purl.obolibrary.org/obo/GO_0031427"
"33","GO_1901905","response to tamsulosin","http://purl.obolibrary.org/obo/GO_1901905"
"34","GO_1990054","response to temozolomide","http://purl.obolibrary.org/obo/GO_1990054"
"35","EFO_0004993","serum IgM measurement","http://www.ebi.ac.uk/efo/EFO_0004993"
"36","EFO_0005045","visceral Leishmaniasis","http://www.ebi.ac.uk/efo/EFO_0005045"
"37","GO_0014072","response to opiate","http://purl.obolibrary.org/obo/GO_0014072"
"38","EFO_0005047","erythrocyte measurement","http://www.ebi.ac.uk/efo/EFO_0005047"
"39","GO_0097335","response to quetiapine","http://purl.obolibrary.org/obo/GO_0097335"
"40","GO_0097336","response to risperidone","http://purl.obolibrary.org/obo/GO_0097336"
"41","GO_0097337","response to ziprasidone","http://purl.obolibrary.org/obo/GO_0097337"
"42","EFO_0004320","suicidal ideation","http://www.ebi.ac.uk/efo/EFO_0004320"
"43","EFO_0004629","von Willebrand factor measurement","http://www.ebi.ac.uk/efo/EFO_0004629"
"44","HP_0025095","Sneeze","http://purl.obolibrary.org/obo/HP_0025095"
"45","EFO_0004291","braces","http://www.ebi.ac.uk/efo/EFO_0004291"
"46","EFO_0004294","left atrial function","http://www.ebi.ac.uk/efo/EFO_0004294"
"47","EFO_0004295","left ventricular function","http://www.ebi.ac.uk/efo/EFO_0004295"
"48","EFO_0004296","thyroid function","http://www.ebi.ac.uk/efo/EFO_0004296"
"49","EFO_0004298","cardiovascular measurement","http://www.ebi.ac.uk/efo/EFO_0004298"
"50","EFO_0004300","longevity","http://www.ebi.ac.uk/efo/EFO_0004300"
"51","EFO_0004301","blood viscosity","http://www.ebi.ac.uk/efo/EFO_0004301"
"52","EFO_0004302","anthropometric measurement","http://www.ebi.ac.uk/efo/EFO_0004302"
"53","EFO_0004304","blood sedimentation","http://www.ebi.ac.uk/efo/EFO_0004304"
"54","EFO_0004305","erythrocyte count","http://www.ebi.ac.uk/efo/EFO_0004305"
"55","EFO_0004306","erythrocyte indices","http://www.ebi.ac.uk/efo/EFO_0004306"
"56","EFO_0005843","cortisol measurement","http://www.ebi.ac.uk/efo/EFO_0005843"
"57","EFO_0005844","response to dietary antigen","http://www.ebi.ac.uk/efo/EFO_0005844"
"58","EFO_0005845","hemoglobin A2 measurement","http://www.ebi.ac.uk/efo/EFO_0005845"
"59","EFO_0005846","cryoglobulinemia","http://www.ebi.ac.uk/efo/EFO_0005846"
"60","EFO_0005849","serum lipase activity measurement","http://www.ebi.ac.uk/efo/EFO_0005849"
"61","EFO_0005850","emphysema pattern measurement","http://www.ebi.ac.uk/efo/EFO_0005850"
"62","EFO_0005851","height-adjusted body mass index","http://www.ebi.ac.uk/efo/EFO_0005851"
"63","EFO_0005852","Heschl's gyrus morphology measurement","http://www.ebi.ac.uk/efo/EFO_0005852"
"64","Orphanet_182098","pneumoconiosis","http://www.orpha.net/ORDO/Orphanet_182098"
"65","EFO_0005853","response to silica exposure","http://www.ebi.ac.uk/efo/EFO_0005853"
"66","EFO_0005854","allergic rhinitis","http://www.ebi.ac.uk/efo/EFO_0005854"
"67","EFO_0005890","osteoarthritis biomarker measurement","http://www.ebi.ac.uk/efo/EFO_0005890"
"68","GO_0007605","sensory perception of sound","http://purl.obolibrary.org/obo/GO_0007605"
"69","GO_0007601","visual perception","http://purl.obolibrary.org/obo/GO_0007601"
"70","EFO_0005895","ossification of the posterior longitudinal ligament of the spine","http://www.ebi.ac.uk/efo/EFO_0005895"
"71","EFO_0005917","generalised epilepsy","http://www.ebi.ac.uk/efo/EFO_0005917"
"72","EFO_0005918","osteoprotegerin measurement","http://www.ebi.ac.uk/efo/EFO_0005918"
"73","EFO_0005919","recombination measurement","http://www.ebi.ac.uk/efo/EFO_0005919"
"74","EFO_0005921","FEV change measurement","http://www.ebi.ac.uk/efo/EFO_0005921"
"75","EFO_0005922","esophageal squamous cell carcinoma","http://www.ebi.ac.uk/efo/EFO_0005922"
"76","EFO_0005924","binge eating","http://www.ebi.ac.uk/efo/EFO_0005924"
"77","EFO_0005935","overweight body mass index status","http://www.ebi.ac.uk/efo/EFO_0005935"
"78","EFO_0005936","underweight body mass index status","http://www.ebi.ac.uk/efo/EFO_0005936"
"79","EFO_0005937","longitudinal BMI measurement","http://www.ebi.ac.uk/efo/EFO_0005937"
"80","EFO_0005938","congenital left-sided heart lesions","http://www.ebi.ac.uk/efo/EFO_0005938"
"81","EFO_0005939","parental genotype effect measurement","http://www.ebi.ac.uk/efo/EFO_0005939"
"82","EFO_0005940","psychotic symptoms","http://www.ebi.ac.uk/efo/EFO_0005940"
"83","EFO_0005941","mammographic density measurement","http://www.ebi.ac.uk/efo/EFO_0005941"
"84","EFO_0005942","chemotherapy-induced hypertension","http://www.ebi.ac.uk/efo/EFO_0005942"
"85","EFO_0005943","response to bevacizumab","http://www.ebi.ac.uk/efo/EFO_0005943"
"86","EFO_0005944","cumulative dose response to bevacizumab","http://www.ebi.ac.uk/efo/EFO_0005944"
"87","EFO_0005229","reading","http://www.ebi.ac.uk/efo/EFO_0005229"
"88","Orphanet_3437","Vogt-Koyanagi-Harada disease","http://www.orpha.net/ORDO/Orphanet_3437"
"89","EFO_0005949","antinuclear antibody measurement","http://www.ebi.ac.uk/efo/EFO_0005949"
"90","EFO_0006266","sum of skinfolds","http://www.ebi.ac.uk/efo/EFO_0006266"
"91","EFO_0001372","neonate","http://www.ebi.ac.uk/efo/EFO_0001372"
"92","EFO_0006309","plasma plasminogen measurement","http://www.ebi.ac.uk/efo/EFO_0006309"
"93","EFO_0004802","family size","http://www.ebi.ac.uk/efo/EFO_0004802"
"94","EFO_0004209","hypospadias","http://www.ebi.ac.uk/efo/EFO_0004209"
"95","HP_0000545","Myopia","http://purl.obolibrary.org/obo/HP_0000545"
"96","HP_0011141","age-related cataract","http://purl.obolibrary.org/obo/HP_0011141"
"97","EFO_0006312","mitochondrial DNA measurement","http://www.ebi.ac.uk/efo/EFO_0006312"
"98","EFO_0006314","response to high-dose melphalan","http://www.ebi.ac.uk/efo/EFO_0006314"
"99","EFO_0006315","thiopurine immunosuppressant-induced pancreatitis","http://www.ebi.ac.uk/efo/EFO_0006315"
"100","EFO_0006316","infant expressive language ability","http://www.ebi.ac.uk/efo/EFO_0006316"
"101","EFO_0006317","response to thiopurine","http://www.ebi.ac.uk/efo/EFO_0006317"
"102","EFO_0006319","HIV viral set point measurement","http://www.ebi.ac.uk/efo/EFO_0006319"
"103","Orphanet_391311","susceptibility to viral and mycobacterial infections","http://www.orpha.net/ORDO/Orphanet_391311"
"104","EFO_0006320","antidepressant-induced side effect","http://www.ebi.ac.uk/efo/EFO_0006320"
"105","EFO_0006321","antidepressant-induced dizziness","http://www.ebi.ac.uk/efo/EFO_0006321"
"106","EFO_0006322","antidepressant-induced sexual dysfunction","http://www.ebi.ac.uk/efo/EFO_0006322"
"107","EFO_0006323","antidepressant-induced visual impairment","http://www.ebi.ac.uk/efo/EFO_0006323"
"108","EFO_0006324","antidepressant-induced hearing impairment","http://www.ebi.ac.uk/efo/EFO_0006324"
"109","EFO_0006326","response to bupropion","http://www.ebi.ac.uk/efo/EFO_0006326"
"110","EFO_0006330","response to buspirone","http://www.ebi.ac.uk/efo/EFO_0006330"
"111","EFO_0006329","response to citalopram","http://www.ebi.ac.uk/efo/EFO_0006329"
"112","EFO_0006327","response to sertraline","http://www.ebi.ac.uk/efo/EFO_0006327"
"113","EFO_0006328","response to venlafaxine","http://www.ebi.ac.uk/efo/EFO_0006328"
"114","EFO_0006331","selenium measurement","http://www.ebi.ac.uk/efo/EFO_0006331"
"115","EFO_0006332","serum iron measurement","http://www.ebi.ac.uk/efo/EFO_0006332"
"116","EFO_0006333","transferrin saturation measurement","http://www.ebi.ac.uk/efo/EFO_0006333"
"117","EFO_0006334","total iron binding capacity","http://www.ebi.ac.uk/efo/EFO_0006334"
"118","EFO_0006335","systolic blood pressure","http://www.ebi.ac.uk/efo/EFO_0006335"
"119","EFO_0006336","diastolic blood pressure","http://www.ebi.ac.uk/efo/EFO_0006336"
"120","EFO_0006337","response to allopurinol","http://www.ebi.ac.uk/efo/EFO_0006337"
"121","EFO_0006339","smooth surface dental caries","http://www.ebi.ac.uk/efo/EFO_0006339"
"122","EFO_0006340","mean arterial pressure","http://www.ebi.ac.uk/efo/EFO_0006340"
"123","EFO_0006341","transferrin measurement","http://www.ebi.ac.uk/efo/EFO_0006341"
"124","EFO_0004872","inflammatory marker measurement","http://www.ebi.ac.uk/efo/EFO_0004872"
"125","EFO_0006505","chronic bronchitis","http://www.ebi.ac.uk/efo/EFO_0006505"
"126","EFO_0000217","gastritis","http://www.ebi.ac.uk/efo/EFO_0000217"
"127","EFO_0006344","medication adherence behavior","http://www.ebi.ac.uk/efo/EFO_0006344"
"128","EFO_0006345","response to phenytoin","http://www.ebi.ac.uk/efo/EFO_0006345"
"129","EFO_0006346","severe cutaneous adverse reaction","http://www.ebi.ac.uk/efo/EFO_0006346"
"130","EFO_0006347","pulmonary artery enlargement","http://www.ebi.ac.uk/efo/EFO_0006347"
"131","EFO_0006352","laryngeal squamous cell carcinoma","http://www.ebi.ac.uk/efo/EFO_0006352"
"132","EFO_0006501","carotid plaque build","http://www.ebi.ac.uk/efo/EFO_0006501"
"133","EFO_0006502","mammographic density percentage","http://www.ebi.ac.uk/efo/EFO_0006502"
"134","EFO_0006503","dense area measurement","http://www.ebi.ac.uk/efo/EFO_0006503"
"135","EFO_0006504","non-dense area measurement","http://www.ebi.ac.uk/efo/EFO_0006504"
"136","EFO_0006506","hepatic lipid content measurement","http://www.ebi.ac.uk/efo/EFO_0006506"
"137","EFO_0006512","angiographic measurement","http://www.ebi.ac.uk/efo/EFO_0006512"
"138","EFO_0006511","Kashin-Beck disease","http://www.ebi.ac.uk/efo/EFO_0006511"
"139","EFO_0006510","Herpes Zoster","http://www.ebi.ac.uk/efo/EFO_0006510"
"140","EFO_0006508","cotinine glucuronidation measurement","http://www.ebi.ac.uk/efo/EFO_0006508"
