"","traits"
"1","celiac disease"
"2","endometriosis"
"3","malaria"
"4","lung carcinoma"
"5","MHPG measurement"
"6","thyroxine measurement"
"7","antioxidant measurement"
"8","arm span"
"9","CCL5 measurement"
"10","energy expenditure"
"11","fatty acid measurement"
"12","folic acid measurement"
"13","gestational age"
"14","head circumference"
"15","IGFBP-1 measurement"
"16","metabolic rate measurement"
"17","urinary metabolite measurement"
"18","amino acid measurement"
"19","body composition measurement"
"20","energy intake"
"21","physical activity"
"22","response to perphenazine"
"23","cardiac troponin T measurement"
"24","cataract"
"25","cognitive decline"
"26","hypertrophic cardiomyopathy"
"27","lean body mass"
"28","lipoprotein measurement"
"29","otitis media"
"30","pancreatitis"
"31","platelet reactivity measurement"
"32","response to methotrexate"
"33","response to tamsulosin"
"34","response to temozolomide"
"35","serum IgM measurement"
"36","visceral Leishmaniasis"
"37","response to opiate"
"38","erythrocyte measurement"
"39","response to quetiapine"
"40","response to risperidone"
"41","response to ziprasidone"
"42","suicidal ideation"
"43","von Willebrand factor measurement"
"44","Sneeze"
"45","braces"
"46","left atrial function"
"47","left ventricular function"
"48","thyroid function"
"49","cardiovascular measurement"
"50","longevity"
"51","blood viscosity"
"52","anthropometric measurement"
"53","blood sedimentation"
"54","erythrocyte count"
"55","erythrocyte indices"
"56","cortisol measurement"
"57","response to dietary antigen"
"58","hemoglobin A2 measurement"
"59","cryoglobulinemia"
"60","serum lipase activity measurement"
"61","emphysema pattern measurement"
"62","height-adjusted body mass index"
"63","Heschl's gyrus morphology measurement"
"64","pneumoconiosis"
"65","response to silica exposure"
"66","allergic rhinitis"
"67","osteoarthritis biomarker measurement"
"68","sensory perception of sound"
"69","visual perception"
"70","ossification of the posterior longitudinal ligament of the spine"
"71","generalised epilepsy"
"72","osteoprotegerin measurement"
"73","recombination measurement"
"74","FEV change measurement"
"75","esophageal squamous cell carcinoma"
"76","binge eating"
"77","overweight body mass index status"
"78","underweight body mass index status"
"79","longitudinal BMI measurement"
"80","congenital left-sided heart lesions"
"81","parental genotype effect measurement"
"82","psychotic symptoms"
"83","mammographic density measurement"
"84","chemotherapy-induced hypertension"
"85","response to bevacizumab"
"86","cumulative dose response to bevacizumab"
"87","reading"
"88","Vogt-Koyanagi-Harada disease"
"89","antinuclear antibody measurement"
"90","sum of skinfolds"
"91","neonate"
"92","plasma plasminogen measurement"
"93","family size"
"94","hypospadias"
"95","Myopia"
"96","age-related cataract"
"97","mitochondrial DNA measurement"
"98","response to high-dose melphalan"
"99","thiopurine immunosuppressant-induced pancreatitis"
"100","infant expressive language ability"
"101","response to thiopurine"
"102","HIV viral set point measurement"
"103","susceptibility to viral and mycobacterial infections"
"104","antidepressant-induced side effect"
"105","antidepressant-induced dizziness"
"106","antidepressant-induced sexual dysfunction"
"107","antidepressant-induced visual impairment"
"108","antidepressant-induced hearing impairment"
"109","response to bupropion"
"110","response to buspirone"
"111","response to citalopram"
"112","response to sertraline"
"113","response to venlafaxine"
"114","selenium measurement"
"115","serum iron measurement"
"116","transferrin saturation measurement"
"117","total iron binding capacity"
"118","systolic blood pressure"
"119","diastolic blood pressure"
"120","response to allopurinol"
"121","smooth surface dental caries"
"122","mean arterial pressure"
"123","transferrin measurement"
"124","inflammatory marker measurement"
"125","chronic bronchitis"
"126","gastritis"
"127","medication adherence behavior"
"128","response to phenytoin"
"129","severe cutaneous adverse reaction"
"130","pulmonary artery enlargement"
"131","laryngeal squamous cell carcinoma"
"132","carotid plaque build"
"133","mammographic density percentage"
"134","dense area measurement"
"135","non-dense area measurement"
"136","hepatic lipid content measurement"
"137","angiographic measurement"
"138","Kashin-Beck disease"
"139","Herpes Zoster"
"140","cotinine glucuronidation measurement"
"141","nicotine glucuronidation measurement"
"142","hereditary hemochromatosis"
"143","Alzheimer's disease biomarker measurement"
"144","angiotensin-converting enzyme measurement"
"145","superior frontal gyrus grey matter volume measurement"
"146","interferon alpha measurement"
"147","response to losartan"
"148","MMR-related febrile seizures"
"149","febrile seizures"
"150","hypokalemia"
"151","carbon monoxide exhalation measurement"
"152","calcium intake measurement"
"153","L-arginine measurement"
"154","asymmetrical dimethylarginine measurement"
"155","symmetrical dimethylarginine measurement"
"156","cigarettes per day measurement"
"157","pack-years measurement"
"158","smoking status measurement"
"159","drug-induced agranulocytosis"
"160","coffee consumption measurement"
"161","cups of coffee per day measurement"
"162","psychosocial stress measurement"
"163","body height at birth"
"164","infant body height"
"165","anxiety disorder"
"166","typhoid fever"
"167","vascular brain injury"
"168","Lewy body dementia"
"169","cerebrospinal fluid biomarker measurement"
"170","left inferior lateral ventricle volume measurement"
"171","serum VEGFR2 concentration measurement"
"172","neurofibrillary tangles measurement"
"173","neuritic plaque measurement"
"174","vascular brain injury measurement"
"175","Alzheimer's disease neuropathologic change"
"176","senile plaques"
"177","response to red blood cell transfusion"
"178","alloimmunization"
"179","word list delayed recall measurement"
"180","paragraph delayed recall measurement"
"181","docosapentaenoic acid measurement"
"182","oleic acid measurement"
